date,FII_Net,DII_Net,FII_Monthly,DII_Monthly,Month
2019-01-01,5.55,93.34,127.67,2146.87,Jan-19
2019-01-02,5.55,93.34,127.67,2146.87,Jan-19
2019-01-03,5.55,93.34,127.67,2146.87,Jan-19
2019-01-04,5.55,93.34,127.67,2146.87,Jan-19
2019-01-07,5.55,93.34,127.67,2146.87,Jan-19
2019-01-08,5.55,93.34,127.67,2146.87,Jan-19
2019-01-09,5.55,93.34,127.67,2146.87,Jan-19
2019-01-10,5.55,93.34,127.67,2146.87,Jan-19
2019-01-11,5.55,93.34,127.67,2146.87,Jan-19
2019-01-14,5.55,93.34,127.67,2146.87,Jan-19
2019-01-15,5.55,93.34,127.67,2146.87,Jan-19
2019-01-16,5.55,93.34,127.67,2146.87,Jan-19
2019-01-17,5.55,93.34,127.67,2146.87,Jan-19
2019-01-18,5.55,93.34,127.67,2146.87,Jan-19
2019-01-21,5.55,93.34,127.67,2146.87,Jan-19
2019-01-22,5.55,93.34,127.67,2146.87,Jan-19
2019-01-23,5.55,93.34,127.67,2146.87,Jan-19
2019-01-24,5.55,93.34,127.67,2146.87,Jan-19
2019-01-25,5.55,93.34,127.67,2146.87,Jan-19
2019-01-28,5.55,93.34,127.67,2146.87,Jan-19
2019-01-29,5.55,93.34,127.67,2146.87,Jan-19
2019-01-30,5.55,93.34,127.67,2146.87,Jan-19
2019-01-31,5.55,93.34,127.67,2146.87,Jan-19
2019-02-01,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-04,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-05,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-06,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-07,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-08,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-11,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-12,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-13,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-14,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-15,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-18,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-19,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-20,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-21,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-22,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-25,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-26,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-27,678.23,-28.29,13564.57,-565.89,Feb-19
2019-02-28,678.23,-28.29,13564.57,-565.89,Feb-19
2019-03-01,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-04,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-05,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-06,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-07,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-08,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-11,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-12,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-13,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-14,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-15,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-18,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-19,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-20,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-21,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-22,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-25,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-26,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-27,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-28,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-03-29,1541.5,-663.35,32371.43,-13930.25,Mar-19
2019-04-01,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-02,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-03,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-04,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-05,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-08,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-09,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-10,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-11,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-12,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-15,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-16,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-17,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-18,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-19,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-22,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-23,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-24,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-25,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-26,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-29,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-04-30,579.52,-191.79,12749.55,-4219.46,Apr-19
2019-05-01,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-02,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-03,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-06,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-07,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-08,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-09,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-10,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-13,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-14,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-15,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-16,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-17,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-20,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-21,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-22,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-23,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-24,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-27,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-28,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-29,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-30,-92.86,231.15,-2135.85,5316.34,May-19
2019-05-31,-92.86,231.15,-2135.85,5316.34,May-19
