ticker,snapshot_date,fiscal_year,roe,roce,debt_equity,operating_margin,net_margin,revenue_growth,source
ABB.NS,2018-03-31,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2018-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2018-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2018-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2019-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2019-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2019-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2019-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2020-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2020-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2020-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2020-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2021-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2021-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2021-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2021-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2022-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2022-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2022-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2022-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2023-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2023-06-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2023-09-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2023-12-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2024-03-30,2012,26.5,,0.01,18.9,15.4,60.2,screener.in
ABB.NS,2024-06-30,2024,21.3,,0.01,15.5,12.6,8.3,screener.in
ABB.NS,2024-09-30,2024,21.3,,0.01,15.5,12.6,8.3,screener.in
ABB.NS,2024-12-30,2024,21.3,,0.01,15.5,12.6,8.3,screener.in
ABB.NS,2025-03-30,2024,21.3,,0.01,15.5,12.6,8.3,screener.in
ABB.NS,2025-06-30,2025,,,,,,,screener.in
ABB.NS,2025-09-30,2025,,,,,,,screener.in
ABB.NS,2025-12-30,2025,,,,,,,screener.in
ACC.NS,2018-03-31,2017,14.4,,0.0,13.8,10.3,11.4,screener.in
ACC.NS,2018-06-30,2018,11.9,,0.0,15.4,8.8,5.8,screener.in
ACC.NS,2018-09-30,2018,11.9,,0.0,15.4,8.8,5.8,screener.in
ACC.NS,2018-12-30,2018,11.9,,0.0,15.4,8.8,5.8,screener.in
ACC.NS,2019-03-30,2018,11.9,,0.0,15.4,8.8,5.8,screener.in
ACC.NS,2019-06-30,2019,11.3,,0.01,17.1,10.4,-12.0,screener.in
ACC.NS,2019-09-30,2019,11.3,,0.01,17.1,10.4,-12.0,screener.in
ACC.NS,2019-12-30,2019,11.3,,0.01,17.1,10.4,-12.0,screener.in
ACC.NS,2020-03-30,2019,11.3,,0.01,17.1,10.4,-12.0,screener.in
ACC.NS,2020-06-30,2020,13.0,,0.01,18.6,11.5,17.2,screener.in
ACC.NS,2020-09-30,2020,13.0,,0.01,18.6,11.5,17.2,screener.in
ACC.NS,2020-12-30,2020,13.0,,0.01,18.6,11.5,17.2,screener.in
ACC.NS,2021-03-30,2020,13.0,,0.01,18.6,11.5,17.2,screener.in
ACC.NS,2021-06-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2021-09-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2021-12-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2022-03-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2022-06-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2022-09-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2022-12-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2023-03-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2023-06-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2023-09-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2023-12-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2024-03-30,2021,6.3,,0.01,8.7,4.0,37.5,screener.in
ACC.NS,2024-06-30,2024,12.9,,0.02,14.1,11.0,-2.0,screener.in
ACC.NS,2024-09-30,2024,12.9,,0.02,14.1,11.0,-2.0,screener.in
ACC.NS,2024-12-30,2024,12.9,,0.02,14.1,11.0,-2.0,screener.in
ACC.NS,2025-03-30,2024,12.9,,0.02,14.1,11.0,-2.0,screener.in
ACC.NS,2025-06-30,2025,13.3,,0.02,12.8,10.7,13.5,screener.in
ACC.NS,2025-09-30,2025,13.3,,0.02,12.8,10.7,13.5,screener.in
ACC.NS,2025-12-30,2025,13.3,,0.02,12.8,10.7,13.5,screener.in
ADANIPORTS.NS,2018-03-31,2017,17.7,,1.07,63.2,32.6,34.2,screener.in
ADANIPORTS.NS,2018-06-30,2018,16.6,,1.14,60.4,37.0,-3.5,screener.in
ADANIPORTS.NS,2018-09-30,2018,16.6,,1.14,60.4,37.0,-3.5,screener.in
ADANIPORTS.NS,2018-12-30,2018,16.6,,1.14,60.4,37.0,-3.5,screener.in
ADANIPORTS.NS,2019-03-30,2018,16.6,,1.14,60.4,37.0,-3.5,screener.in
ADANIPORTS.NS,2019-06-30,2019,14.9,,1.19,50.1,31.9,8.7,screener.in
ADANIPORTS.NS,2019-09-30,2019,14.9,,1.19,50.1,31.9,8.7,screener.in
ADANIPORTS.NS,2019-12-30,2019,14.9,,1.19,50.1,31.9,8.7,screener.in
ADANIPORTS.NS,2020-03-30,2019,14.9,,1.19,50.1,31.9,8.7,screener.in
ADANIPORTS.NS,2020-06-30,2020,16.6,,1.18,69.2,40.2,5.7,screener.in
ADANIPORTS.NS,2020-09-30,2020,16.6,,1.18,69.2,40.2,5.7,screener.in
ADANIPORTS.NS,2020-12-30,2020,16.6,,1.18,69.2,40.2,5.7,screener.in
ADANIPORTS.NS,2021-03-30,2020,16.6,,1.18,69.2,40.2,5.7,screener.in
ADANIPORTS.NS,2021-06-30,2021,11.8,,1.15,55.7,28.9,36.4,screener.in
ADANIPORTS.NS,2021-09-30,2021,11.8,,1.15,55.7,28.9,36.4,screener.in
ADANIPORTS.NS,2021-12-30,2021,11.8,,1.15,55.7,28.9,36.4,screener.in
ADANIPORTS.NS,2022-03-30,2021,11.8,,1.15,55.7,28.9,36.4,screener.in
ADANIPORTS.NS,2022-06-30,2022,11.9,,1.18,52.5,25.9,21.8,screener.in
ADANIPORTS.NS,2022-09-30,2022,11.9,,1.18,52.5,25.9,21.8,screener.in
ADANIPORTS.NS,2022-12-30,2022,11.9,,1.18,52.5,25.9,21.8,screener.in
ADANIPORTS.NS,2023-03-30,2022,11.9,,1.18,52.5,25.9,21.8,screener.in
ADANIPORTS.NS,2023-06-30,2023,15.4,,0.94,58.4,30.3,28.1,screener.in
ADANIPORTS.NS,2023-09-30,2023,15.4,,0.94,58.4,30.3,28.1,screener.in
ADANIPORTS.NS,2023-12-30,2023,15.4,,0.94,58.4,30.3,28.1,screener.in
ADANIPORTS.NS,2024-03-30,2023,15.4,,0.94,58.4,30.3,28.1,screener.in
ADANIPORTS.NS,2024-06-30,2024,17.8,,0.83,59.5,36.3,14.1,screener.in
ADANIPORTS.NS,2024-09-30,2024,17.8,,0.83,59.5,36.3,14.1,screener.in
ADANIPORTS.NS,2024-12-30,2024,17.8,,0.83,59.5,36.3,14.1,screener.in
ADANIPORTS.NS,2025-03-30,2024,17.8,,0.83,59.5,36.3,14.1,screener.in
ADANIPORTS.NS,2025-06-30,2025,18.6,,0.85,59.3,34.3,19.7,screener.in
ADANIPORTS.NS,2025-09-30,2025,18.6,,0.85,59.3,34.3,19.7,screener.in
ADANIPORTS.NS,2025-12-30,2025,18.6,,0.85,59.3,34.3,19.7,screener.in
ALKEM.NS,2018-03-31,2017,13.1,,0.21,15.8,10.0,12.5,screener.in
ALKEM.NS,2018-06-30,2018,14.2,,0.17,15.2,10.5,14.9,screener.in
ALKEM.NS,2018-09-30,2018,14.2,,0.17,15.2,10.5,14.9,screener.in
ALKEM.NS,2018-12-30,2018,14.2,,0.17,15.2,10.5,14.9,screener.in
ALKEM.NS,2019-03-30,2018,14.2,,0.17,15.2,10.5,14.9,screener.in
ALKEM.NS,2019-06-30,2019,18.6,,0.26,17.7,13.8,13.4,screener.in
ALKEM.NS,2019-09-30,2019,18.6,,0.26,17.7,13.8,13.4,screener.in
ALKEM.NS,2019-12-30,2019,18.6,,0.26,17.7,13.8,13.4,screener.in
ALKEM.NS,2020-03-30,2019,18.6,,0.26,17.7,13.8,13.4,screener.in
ALKEM.NS,2020-06-30,2020,21.9,,0.23,21.9,18.3,6.2,screener.in
ALKEM.NS,2020-09-30,2020,21.9,,0.23,21.9,18.3,6.2,screener.in
ALKEM.NS,2020-12-30,2020,21.9,,0.23,21.9,18.3,6.2,screener.in
ALKEM.NS,2021-03-30,2020,21.9,,0.23,21.9,18.3,6.2,screener.in
ALKEM.NS,2021-06-30,2021,19.4,,0.31,19.3,15.8,20.0,screener.in
ALKEM.NS,2021-09-30,2021,19.4,,0.31,19.3,15.8,20.0,screener.in
ALKEM.NS,2021-12-30,2021,19.4,,0.31,19.3,15.8,20.0,screener.in
ALKEM.NS,2022-03-30,2021,19.4,,0.31,19.3,15.8,20.0,screener.in
ALKEM.NS,2022-06-30,2022,11.1,,0.15,14.0,8.7,9.1,screener.in
ALKEM.NS,2022-09-30,2022,11.1,,0.15,14.0,8.7,9.1,screener.in
ALKEM.NS,2022-12-30,2022,11.1,,0.15,14.0,8.7,9.1,screener.in
ALKEM.NS,2023-03-30,2022,11.1,,0.15,14.0,8.7,9.1,screener.in
ALKEM.NS,2023-06-30,2023,17.6,,0.14,17.8,14.3,9.2,screener.in
ALKEM.NS,2023-09-30,2023,17.6,,0.14,17.8,14.3,9.2,screener.in
ALKEM.NS,2023-12-30,2023,17.6,,0.14,17.8,14.3,9.2,screener.in
ALKEM.NS,2024-03-30,2023,17.6,,0.14,17.8,14.3,9.2,screener.in
ALKEM.NS,2024-06-30,2024,18.5,,0.12,19.4,17.1,2.3,screener.in
ALKEM.NS,2024-09-30,2024,18.5,,0.12,19.4,17.1,2.3,screener.in
ALKEM.NS,2024-12-30,2024,18.5,,0.12,19.4,17.1,2.3,screener.in
ALKEM.NS,2025-03-30,2024,18.5,,0.12,19.4,17.1,2.3,screener.in
ALKEM.NS,2025-06-30,2025,18.1,,0.18,20.2,17.0,9.9,screener.in
ALKEM.NS,2025-09-30,2025,18.1,,0.18,20.2,17.0,9.9,screener.in
ALKEM.NS,2025-12-30,2025,18.1,,0.18,20.2,17.0,9.9,screener.in
AMBUJACEM.NS,2018-03-31,2017,13.3,,0.0,15.4,11.4,10.3,screener.in
AMBUJACEM.NS,2018-06-30,2018,11.6,,0.0,17.0,10.3,4.1,screener.in
AMBUJACEM.NS,2018-09-30,2018,11.6,,0.0,17.0,10.3,4.1,screener.in
AMBUJACEM.NS,2018-12-30,2018,11.6,,0.0,17.0,10.3,4.1,screener.in
AMBUJACEM.NS,2019-03-30,2018,11.6,,0.0,17.0,10.3,4.1,screener.in
AMBUJACEM.NS,2019-06-30,2019,13.7,,0.02,20.4,12.7,-9.5,screener.in
AMBUJACEM.NS,2019-09-30,2019,13.7,,0.02,20.4,12.7,-9.5,screener.in
AMBUJACEM.NS,2019-12-30,2019,13.7,,0.02,20.4,12.7,-9.5,screener.in
AMBUJACEM.NS,2020-03-30,2019,13.7,,0.02,20.4,12.7,-9.5,screener.in
AMBUJACEM.NS,2020-06-30,2020,14.6,,0.02,21.4,12.8,18.1,screener.in
AMBUJACEM.NS,2020-09-30,2020,14.6,,0.02,21.4,12.8,18.1,screener.in
AMBUJACEM.NS,2020-12-30,2020,14.6,,0.02,21.4,12.8,18.1,screener.in
AMBUJACEM.NS,2021-03-30,2020,14.6,,0.02,21.4,12.8,18.1,screener.in
AMBUJACEM.NS,2021-06-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2021-09-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2021-12-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2022-03-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2022-06-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2022-09-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2022-12-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2023-03-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2023-06-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2023-09-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2023-12-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2024-03-30,2021,9.5,,0.02,13.2,7.8,34.4,screener.in
AMBUJACEM.NS,2024-06-30,2024,9.7,,0.01,17.0,14.7,-10.0,screener.in
AMBUJACEM.NS,2024-09-30,2024,9.7,,0.01,17.0,14.7,-10.0,screener.in
AMBUJACEM.NS,2024-12-30,2024,9.7,,0.01,17.0,14.7,-10.0,screener.in
AMBUJACEM.NS,2025-03-30,2024,9.7,,0.01,17.0,14.7,-10.0,screener.in
AMBUJACEM.NS,2025-06-30,2025,8.8,,0.02,17.5,12.5,13.3,screener.in
AMBUJACEM.NS,2025-09-30,2025,8.8,,0.02,17.5,12.5,13.3,screener.in
AMBUJACEM.NS,2025-12-30,2025,8.8,,0.02,17.5,12.5,13.3,screener.in
APOLLOHOSP.NS,2018-03-31,2017,1.8,,1.05,9.7,0.7,13.6,screener.in
APOLLOHOSP.NS,2018-06-30,2018,6.0,,1.1,11.1,2.1,16.7,screener.in
APOLLOHOSP.NS,2018-09-30,2018,6.0,,1.1,11.1,2.1,16.7,screener.in
APOLLOHOSP.NS,2018-12-30,2018,6.0,,1.1,11.1,2.1,16.7,screener.in
APOLLOHOSP.NS,2019-03-30,2018,6.0,,1.1,11.1,2.1,16.7,screener.in
APOLLOHOSP.NS,2019-06-30,2019,12.9,,1.08,14.1,3.8,16.9,screener.in
APOLLOHOSP.NS,2019-09-30,2019,12.9,,1.08,14.1,3.8,16.9,screener.in
APOLLOHOSP.NS,2019-12-30,2019,12.9,,1.08,14.1,3.8,16.9,screener.in
APOLLOHOSP.NS,2020-03-30,2019,12.9,,1.08,14.1,3.8,16.9,screener.in
APOLLOHOSP.NS,2020-06-30,2020,3.0,,0.9,10.8,1.3,-6.1,screener.in
APOLLOHOSP.NS,2020-09-30,2020,3.0,,0.9,10.8,1.3,-6.1,screener.in
APOLLOHOSP.NS,2020-12-30,2020,3.0,,0.9,10.8,1.3,-6.1,screener.in
