date,regime_code,tickers
2021-02-28,3,"HAVELLS.NS, PERSISTENT.NS, TATASTEEL.NS, KPITTECH.NS, LTTS.NS, ABB.NS, SIEMENS.NS, LT.NS, WIPRO.NS, POLYCAB.NS"
2021-03-31,3,"SBIN.NS, POLYCAB.NS, ABB.NS, JSWSTEEL.NS, AXISBANK.NS, ICICIBANK.NS, LTTS.NS, LT.NS, BAJFINANCE.NS, ONGC.NS"
2021-04-30,3,"TATASTEEL.NS, SBIN.NS, PERSISTENT.NS, ONGC.NS, LTTS.NS, POLYCAB.NS, ABB.NS, SIEMENS.NS, WIPRO.NS, ICICIBANK.NS"
2021-05-31,4,"KPITTECH.NS, PERSISTENT.NS, JSWSTEEL.NS, TATASTEEL.NS, POLYCAB.NS, SBIN.NS, LTTS.NS, ABB.NS, WIPRO.NS, ONGC.NS, SIEMENS.NS, ICICIBANK.NS, BAJAJ-AUTO.NS, ASIANPAINT.NS, PIDILITIND.NS"
2021-06-30,4,"PERSISTENT.NS, KPITTECH.NS, TATASTEEL.NS, POLYCAB.NS, JSWSTEEL.NS, COFORGE.NS, SBIN.NS, ABB.NS, WIPRO.NS, SIEMENS.NS, INFY.NS, ONGC.NS, DMART.NS, TRENT.NS, MUTHOOTFIN.NS"
2021-07-31,4,"TATASTEEL.NS, PERSISTENT.NS, COFORGE.NS, KPITTECH.NS, JSWSTEEL.NS, SBIN.NS, POLYCAB.NS, DIVISLAB.NS, MUTHOOTFIN.NS, TRENT.NS, SUNPHARMA.NS, NTPC.NS, PIDILITIND.NS, ICICIBANK.NS, WIPRO.NS"
2021-08-31,4,"COFORGE.NS, PERSISTENT.NS, TATASTEEL.NS, JSWSTEEL.NS, TECHM.NS, WIPRO.NS, POLYCAB.NS, DIVISLAB.NS, LTTS.NS, BAJFINANCE.NS, INFY.NS, ASIANPAINT.NS, TITAN.NS, PIDILITIND.NS, SUNPHARMA.NS"
2021-09-30,4,"PERSISTENT.NS, KPITTECH.NS, COFORGE.NS, LTTS.NS, POLYCAB.NS, WIPRO.NS, DMART.NS, BAJFINANCE.NS, JSWSTEEL.NS, COALINDIA.NS, ONGC.NS, TITAN.NS, TECHM.NS, SUNPHARMA.NS, TRENT.NS"
2021-10-31,4,"PERSISTENT.NS, LTTS.NS, TECHM.NS, POLYCAB.NS, ABB.NS, SBIN.NS, BAJFINANCE.NS, LT.NS, NTPC.NS, ICICIBANK.NS, WIPRO.NS, TATASTEEL.NS, TRENT.NS, PIDILITIND.NS, RELIANCE.NS"
2021-11-30,3,"LTTS.NS, PERSISTENT.NS, TECHM.NS, COFORGE.NS, DMART.NS, TITAN.NS, POLYCAB.NS, HAVELLS.NS, ONGC.NS, INFY.NS"
